Instancia;Métrica;Parte 6;Parte 7
A_instance_0001;Restricciones;157;157;;
;# variables inicial;17;17;;
;# variables en últ. maestro;17;17;;
;Cota dual;51;51;;
;Mejor objetivo;68;68;;
A_instance_0002;Restricciones;9;9;;
;# variables inicial;6;6;;
;# variables en últ. maestro;6;6;;
;Cota dual;8;8;;
;Mejor objetivo;2;2;;
A_instance_0003;Restricciones;248;248;;
;# variables inicial;14;14;;
;# variables en últ. maestro;14;14;;
;Cota dual;50;50;;
;Mejor objetivo;75;75;;
B_instance_0001;Restricciones;0;7675;;
;# variables inicial;7;30;;
;# variables en últ. maestro;7;30;;
;Cota dual;0;350;;
;Mejor objetivo;0;350;;
B_instance_0002;Restricciones;0;5922;;
;# variables inicial;5;30;;
;# variables en últ. maestro;5;30;;
;Cota dual;0;3405;;
;Mejor objetivo;0;3405;;
B_instance_0003;Restricciones;0;5617;;
;# variables inicial;4;30;;
;# variables en últ. maestro;4;30;;
;Cota dual;0;2150;;
;Mejor objetivo;0;2150;;
